id,VCS,VCS,VCS,VCS,file_link
,chunk_size=1,chunk_size=1,chunk_size=2,chunk_size=2,
,LCT=0,LCT=1,LCT=0,LCT=1,
117,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=B2CEGhwMjkQ
118,0.0,0.191,0.0,0.399,https://www.youtube.com/watch?v=B2zzhcU9f9U
119,0.0,0.0,0.0,0.191,https://www.youtube.com/watch?v=yPBPcACUTng
120,0.0,0.0,0.0,0.11,https://www.youtube.com/watch?v=KVK6yLqY54w
121,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=F2zTd_YwTvo
122,0.0,0.144,0.0,0.069,https://www.youtube.com/watch?v=FAmaskY8eXE
123,0.0,0.0,0.0,0.329,https://www.youtube.com/watch?v=FcMWGGr6aRs
124,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=FnFMS11g4fM
125,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=G6f0w5BRasw
127,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=GvF4-C1EuJU
128,0.0,0.277,0.165,0.357,https://www.youtube.com/watch?v=6WArrD9VPJE
129,0.0,0.192,0.22,0.504,https://www.youtube.com/watch?v=8FX2FZ0fFlo
130,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=KihpUEKi4TA
131,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=LBP8QDlm6OA
132,0.0,0.125,0.0,0.0,https://www.youtube.com/watch?v=LW8CpOzdT5Q
133,0.0,0.0,0.185,0.43,https://www.youtube.com/watch?v=LxXrccK4S3I
134,0.0,0.0,0.0,0.087,https://www.youtube.com/watch?v=M-VdYzNgtng
135,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=KqpcmQhnl48
136,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=N18AtSAxJ1I
137,0.0,0.0,0.0,0.041,https://www.youtube.com/watch?v=NMOjCohQbXY
138,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=QLkt-SfsCsQ
139,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=RESwG23_YGw
140,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=RgHtBxOs4qw
141,0.0,0.132,0.0,0.245,https://www.youtube.com/watch?v=Rn9NcN4fyFs
142,0.0,0.0,0.0,0.033,https://www.youtube.com/watch?v=Ruw9fsh3PNY
143,0.0,0.0,0.0,0.277,https://www.youtube.com/watch?v=S501ojiA52c
144,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=SD86_k19Rx8
145,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=pf2q0HemaFs
146,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=SeyB9wxHDxQ
147,0.0,0.0,0.0,0.168,https://www.youtube.com/watch?v=TL7JNa7a7cY
148,0.0,0.0,0.0,0.11,https://www.youtube.com/watch?v=USKDdEg8N3s
149,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ULLpy_WyJds
150,0.0,0.0,0.0,0.37,https://www.youtube.com/watch?v=UfmbUwrXatE
151,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=V5dA92wqmME
152,0.0,0.0,0.292,0.376,https://www.youtube.com/watch?v=VCJrgPb3y80
153,0.0,0.364,0.119,0.434,https://www.youtube.com/watch?v=VmC9YJ8eJeg
154,0.0,0.0,0.0,0.108,https://www.youtube.com/watch?v=W-KxBQyVfc0
155,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=WdDUhHl-BzM
156,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=rYAqCGHF0oM
157,0.0,0.0,0.0,0.023,https://www.youtube.com/watch?v=XkxtxZSrPMQ
158,0.0,0.117,0.0,0.485,https://www.youtube.com/watch?v=YmbXanCiB-U
159,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=YpOuuX8PXFA
160,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=_VIWqtzAHQ0
161,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=9RfC79nFT3U
162,0.0,0.224,0.0,0.463,https://www.youtube.com/watch?v=DUJHFbmzhtQ
163,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=bmIx71yf944
164,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=cWrdSvCOtfI
165,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=czJL-TPz-5M
166,0.0,0.0,0.0,0.214,https://www.youtube.com/watch?v=d5nAgnojNgk
167,0.0,0.127,0.0,0.0,https://www.youtube.com/watch?v=deXkkwCn3rM
168,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=dk3BfcWrx8c
169,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=eOcimzsviFA
170,0.0,0.0,0.162,0.497,https://www.youtube.com/watch?v=eveUzWmTxl4
171,0.0,0.0,0.0,0.288,https://www.youtube.com/watch?v=fV0ApOOSGBc
172,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=i71zp2X4XDw
173,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=VXrByUBhP4M
174,0.0,0.27,0.0,0.461,https://www.youtube.com/watch?v=jBilibonBuY
175,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=jYnRBX2Trtk
176,0.0,0.121,0.0,0.208,https://www.youtube.com/watch?v=jot1h4tgY6M
177,0.0,0.0,0.0,0.173,https://www.youtube.com/watch?v=kBwVWrBk_uo
178,0.0,0.271,0.0,0.0,https://www.youtube.com/watch?v=l4L9Yi-lXbo
179,0.0,0.0,0.0,0.073,https://www.youtube.com/watch?v=lHinCkDMFTc
180,0.0,0.172,0.0,0.138,https://www.youtube.com/watch?v=lkoWhWGcVR4
181,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=mcXnAOcF_Sc
182,0.0,0.0,0.0,0.265,https://www.youtube.com/watch?v=nlJqcYb65o0
183,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=o1nS19OOD-U
184,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=oN6VvdPnOzM
185,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=qDR_yTik_xo
186,0.0,0.228,0.0,0.424,https://www.youtube.com/watch?v=qeY1mkXqKgk
187,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=rGNhHfEghA0
188,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=YkfEc-PYJ8A
189,0.249,0.47,0.332,0.622,https://www.youtube.com/watch?v=sIY7BQkbIT8
190,0.411,0.579,0.583,0.661,https://www.youtube.com/watch?v=tTKeI0tdhTc
191,0.0,0.0,0.0,0.051,https://www.youtube.com/watch?v=aDJgv1iARPg
192,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=lMoLhLjbtqI
193,0.0,0.188,0.0,0.522,https://www.youtube.com/watch?v=wPmTp9up26w
194,0.0,0.0,0.0,0.07,https://www.youtube.com/watch?v=wUZxSf_P2r0
195,0.255,0.36,0.425,0.54,https://www.youtube.com/watch?v=xHrOaF4Dq5U
196,0.0,0.108,0.0,0.37,https://www.youtube.com/watch?v=xbEnbf8xGv0
197,0.0,0.0,0.0,0.025,https://www.youtube.com/watch?v=xdMilnKGJdA
198,0.0,0.006,0.0,0.317,https://www.youtube.com/watch?v=zJMCctR8ivc
199,0.0,0.0,0.0,0.041,https://www.youtube.com/watch?v=nn3I6-DBLJM
200,0.0,0.382,0.0,0.302,https://www.youtube.com/watch?v=zUL_yawY6Ks
